id,name,description,created_at,updated_at
1,Dev,MIS,2025-03-03 14:48:29,2025-03-03 14:48:31
2,FSD department,FSD,2025-03-24 18:00:30.960114,2025-03-24 18:00:30.960114
3,Cybersecurity,Cybersecurity dep,2025-03-25 13:58:12.600224,2025-03-25 13:58:12.600224
4,Infrastructure,Infrastructure dep,2025-03-25 13:58:26.028702,2025-03-25 13:58:26.028702
